Result,Player,Book Odds,predicted_prob,Odds,New Odds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,This Week,14,,,,,,
Void,Brenton Strange,800,12.3%,711,711,-89,12%,9.00,$0,$0.00,"$1,438.88",,,$440,Brenton Strange,800,1.2%,14,,,,,,,,,,
Miss,Brock Wright,900,12.6%,695,695,-205,13%,10.00,$40,-$40.00,"$1,398.88",$7,-$7.18,$433,Brock Wright,900,2.6%,14,,,,,,,,,,
Hit,Ja'Marr Chase,-145,80.8%,-420,-150,-5,60%,1.69,$40,$27.59,"$1,426.46",$5,$3.45,$437,Ja'Marr Chase,-145,0.8%,14,,,,,,,,,,
Miss,Andrei Iosivas,500,30.3%,230,230,-270,30%,6.00,$40,-$40.00,"$1,386.46",$41,-$40.91,$396,Andrei Iosivas,500,13.6%,14,,,,,,,,,,
Miss,Cooper Kupp,135,64.9%,-185,-150,-285,60%,2.35,$40,-$40.00,"$1,346.46",$76,-$75.93,$320,Cooper Kupp,135,17.4%,15,,,,,,,,,,
Miss,George Kittle,150,85.6%,-595,-150,-300,60%,2.50,$40,-$40.00,"$1,306.46",$83,-$83.33,$236,George Kittle,150,20.0%,15,,,,,,,,,,
Miss,Jauan Jennings,165,48.0%,107,107,-58,48%,2.65,$40,-$40.00,"$1,266.46",$42,-$42.45,$194,Jauan Jennings,165,10.6%,15,,,,,,,,,,
Miss,Demarcus Robinson,440,33.6%,197,197,-243,34%,5.40,$40,-$40.00,"$1,226.46",$46,-$46.49,$147,Demarcus Robinson,440,15.2%,15,,,,,,,,,,
Miss,Ja'Marr Chase,-155,86.4%,-633,-150,5,60%,1.65,$40,-$40.00,"$1,186.46",$0,$0.00,$147,Ja'Marr Chase,-155,-0.8%,15,,,,,,,,,,
Hit,Drake London,130,51.0%,-104,-104,-234,51%,2.30,$40,$52.00,"$1,238.46",$33,$43.06,$190,Drake London,130,7.5%,15,,,,,,,,,,
Hit,Garrett Wilson,165,58.8%,-143,-143,-308,59%,2.65,$40,$66.00,"$1,304.46",$85,$139.57,$330,Garrett Wilson,165,21.1%,15,,,,,,,,,,
Miss,Travis Kelce,145,63.6%,-175,-150,-295,60%,2.45,$40,-$40.00,"$1,264.46",$81,-$81.03,$249,Travis Kelce,145,19.2%,15,,,,,,,,,,
Hit,Courtland Sutton,130,48.6%,106,106,-24,49%,2.30,$40,$52.00,"$1,316.46",$22,$29.23,$278,Courtland Sutton,130,5.1%,15,,,,,,,,,,
Hit,Amon-Ra St. Brown,-105,80.8%,-421,-150,-45,60%,1.95,$40,$38.10,"$1,354.56",$45,$42.86,$321,Amon-Ra St. Brown,-105,8.8%,15,Standard Profit:,,,,,,,,,
Hit,Davante Adams,145,58.6%,-142,-142,-287,59%,2.45,$40,$58.00,"$1,412.56",$75,$109.15,$430,Davante Adams,145,17.8%,15,$420.10,,,,,,,,,
Hit,Tee Higgins,160,62.2%,-165,-150,-310,60%,2.60,$40,$64.00,"$1,476.56",$88,$140.00,$570,Tee Higgins,160,21.5%,15,Kelly Profit:,,,,,,,,,
Miss,Tyreek Hill,135,43.5%,130,130,-5,43%,2.35,$40,-$40.00,"$1,436.56",$4,-$4.07,$566,Tyreek Hill,135,0.9%,15,$732.40,,,,,,,,,
Miss,Cade Otton,200,34.8%,187,187,-13,35%,3.00,$40,-$40.00,"$1,396.56",$5,-$5.49,$561,Cade Otton,200,1.5%,15,,,,,,,,,,
Miss,Hunter Henry,275,35.8%,179,179,-96,36%,3.75,$40,-$40.00,"$1,356.56",$31,-$31.22,$529,Hunter Henry,275,9.2%,15,,,,,,,,,,
Miss,Josh Downs,275,34.0%,194,194,-81,34%,3.75,$40,-$40.00,"$1,316.56",$25,-$24.89,$505,Josh Downs,275,7.3%,15,,,,,,,,,,
Void,David Njoku,245,34.0%,194,194,-51,34%,3.45,$0,$0.00,"$1,316.56",,,$505,David Njoku,245,5.0%,15,,,,,,,,,,
Miss,Wan'Dale Robinson,360,29.8%,236,236,-124,30%,4.60,$40,-$40.00,"$1,276.56",$26,-$25.61,$479,Wan'Dale Robinson,360,8.0%,15,,,,,,,,,,
Hit,Jonnu Smith,200,45.8%,119,119,-81,46%,3.00,$40,$80.00,"$1,356.56",$47,$93.20,$572,Jonnu Smith,200,12.4%,15,,,,,,,,,,
Hit,Mike Evans,115,51.8%,-107,-107,-222,52%,2.15,$40,$46.00,"$1,402.56",$25,$28.20,$600,Mike Evans,115,5.2%,15,,,,,,,,,,
Void,Allen Lazard,295,36.0%,177,177,-118,36%,3.95,$0,$0.00,"$1,402.56",,,$600,Allen Lazard,295,10.7%,15,,,,,,,,,,
Miss,Xavier Legette,235,33.6%,198,198,-37,34%,3.35,$40,-$40.00,"$1,362.56",$13,-$13.24,$587,Xavier Legette,235,3.7%,15,,,,,,,,,,
